sponsorcontactid,tripname,tripdesc
83,Trip 147,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
175,Trip 148,augue vel accumsan tellus nisi eu orci mauris
152,Trip 149,parturient montes nascetur ridiculus mus etiam vel
90,Trip 150,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
111,Trip 151,fringilla rhoncus mauris enim leo rhoncus sed vestibulum
139,Trip 152,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
162,Trip 153,turpis donec posuere metus vitae ipsum aliquam
76,Trip 154,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
16,Trip 155,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
155,Trip 156,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
114,Trip 157,ut at dolor quis odio consequat varius integer ac leo
194,Trip 158,aliquam augue quam sollicitudin vitae consectetuer eget
184,Trip 159,convallis eget eleifend luctus ultricies eu nibh
163,Trip 160,nulla ultrices aliquet maecenas leo odio condimentum
109,Trip 161,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
106,Trip 162,eget massa tempor convallis nulla neque libero convallis eget eleifend
108,Trip 163,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
16,Trip 164,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
130,Trip 165,phasellus id sapien in sapien iaculis congue vivamus metus arcu
24,Trip 166,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
76,Trip 167,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
16,Trip 168,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
78,Trip 169,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
86,Trip 170,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
179,Trip 171,mauris laoreet ut rhoncus aliquet pulvinar sed nisl
43,Trip 172,in faucibus orci luctus et ultrices posuere
104,Trip 173,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
17,Trip 174,lorem ipsum dolor sit amet consectetuer adipiscing elit proin
140,Trip 175,justo maecenas rhoncus aliquam lacus morbi quis tortor
119,Trip 176,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
166,Trip 177,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
123,Trip 178,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
21,Trip 179,amet consectetuer adipiscing elit proin interdum mauris non
159,Trip 180,sed vel enim sit amet nunc viverra dapibus nulla
147,Trip 181,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem
149,Trip 182,amet justo morbi ut odio cras mi pede malesuada
189,Trip 183,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
74,Trip 184,augue luctus tincidunt nulla mollis molestie lorem
122,Trip 185,arcu libero rutrum ac lobortis vel dapibus at diam nam
158,Trip 186,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
189,Trip 187,sit amet turpis elementum ligula vehicula consequat morbi a ipsum
186,Trip 188,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
126,Trip 189,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
72,Trip 190,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
18,Trip 191,donec ut dolor morbi vel lectus in quam fringilla
10,Trip 192,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
37,Trip 193,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
107,Trip 194,libero convallis eget eleifend luctus ultricies eu nibh quisque
16,Trip 195,nunc purus phasellus in felis donec semper
184,Trip 196,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
30,Trip 197,massa id nisl venenatis lacinia aenean sit amet justo
168,Trip 198,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
36,Trip 199,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
115,Trip 200,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
59,Trip 201,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
178,Trip 202,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
70,Trip 203,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
81,Trip 204,feugiat et eros vestibulum ac est lacinia nisi
151,Trip 205,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
76,Trip 206,eget tincidunt eget tempus vel pede morbi porttitor
24,Trip 207,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
110,Trip 208,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
89,Trip 209,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
55,Trip 210,blandit mi in porttitor pede justo eu massa donec
108,Trip 211,risus dapibus augue vel accumsan tellus nisi
160,Trip 212,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
63,Trip 213,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
185,Trip 214,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
61,Trip 215,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
70,Trip 216,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
144,Trip 217,justo in blandit ultrices enim lorem ipsum dolor
176,Trip 218,sapien arcu sed augue aliquam erat volutpat
171,Trip 219,sed tincidunt eu felis fusce posuere felis
193,Trip 220,ac leo pellentesque ultrices mattis odio donec vitae nisi nam
28,Trip 221,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
6,Trip 222,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
52,Trip 223,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
153,Trip 224,quis lectus suspendisse potenti in eleifend quam
89,Trip 225,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
139,Trip 226,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
107,Trip 227,augue vestibulum rutrum rutrum neque aenean auctor gravida sem
111,Trip 228,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
14,Trip 229,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
154,Trip 230,massa quis augue luctus tincidunt nulla mollis molestie
103,Trip 231,tempus vel pede morbi porttitor lorem id ligula suspendisse
102,Trip 232,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
102,Trip 233,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
75,Trip 234,integer aliquet massa id lobortis convallis tortor
148,Trip 235,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
109,Trip 236,et commodo vulputate justo in blandit ultrices
66,Trip 237,maecenas ut massa quis augue luctus tincidunt
70,Trip 238,mattis egestas metus aenean fermentum donec ut mauris eget massa
198,Trip 239,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
156,Trip 240,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
42,Trip 241,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices
155,Trip 242,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
156,Trip 243,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
43,Trip 244,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
65,Trip 245,dictumst morbi vestibulum velit id pretium iaculis diam erat
73,Trip 246,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
31,Trip 247,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
183,Trip 248,dui maecenas tristique est et tempus semper est quam pharetra magna ac
196,Trip 249,est quam pharetra magna ac consequat metus sapien ut nunc
83,Trip 250,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
138,Trip 251,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
175,Trip 252,feugiat non pretium quis lectus suspendisse potenti in eleifend quam
197,Trip 253,interdum mauris non ligula pellentesque ultrices phasellus id sapien in
35,Trip 254,sem duis aliquam convallis nunc proin at turpis a
143,Trip 255,erat eros viverra eget congue eget semper rutrum
145,Trip 256,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
175,Trip 257,congue vivamus metus arcu adipiscing molestie hendrerit at
66,Trip 258,ac enim in tempor turpis nec euismod scelerisque quam turpis
163,Trip 259,et commodo vulputate justo in blandit ultrices
196,Trip 260,id luctus nec molestie sed justo pellentesque viverra pede
37,Trip 261,rutrum at lorem integer tincidunt ante vel
184,Trip 262,lorem vitae mattis nibh ligula nec sem duis
71,Trip 263,amet lobortis sapien sapien non mi integer
183,Trip 264,mi sit amet lobortis sapien sapien non mi integer
97,Trip 265,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
110,Trip 266,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
188,Trip 267,id mauris vulputate elementum nullam varius nulla facilisi cras
55,Trip 268,quis orci eget orci vehicula condimentum curabitur in libero ut massa
80,Trip 269,neque aenean auctor gravida sem praesent id
141,Trip 270,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
41,Trip 271,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
99,Trip 272,commodo placerat praesent blandit nam nulla integer pede justo
76,Trip 273,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et
139,Trip 274,amet cursus id turpis integer aliquet massa id lobortis convallis
191,Trip 275,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla
28,Trip 276,eu magna vulputate luctus cum sociis natoque
141,Trip 277,nulla nunc purus phasellus in felis donec semper sapien a libero
5,Trip 278,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
102,Trip 279,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
156,Trip 280,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
191,Trip 281,rhoncus sed vestibulum sit amet cursus id
15,Trip 282,posuere felis sed lacus morbi sem mauris laoreet
71,Trip 283,vulputate nonummy maecenas tincidunt lacus at velit
165,Trip 284,vehicula consequat morbi a ipsum integer a nibh in quis
91,Trip 285,primis in faucibus orci luctus et ultrices posuere
8,Trip 286,tincidunt in leo maecenas pulvinar lobortis est phasellus sit
178,Trip 287,vestibulum sed magna at nunc commodo placerat praesent blandit
141,Trip 288,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
164,Trip 289,sit amet cursus id turpis integer aliquet massa id lobortis
4,Trip 290,dapibus nulla suscipit ligula in lacus curabitur at
24,Trip 291,mauris sit amet eros suspendisse accumsan tortor quis
21,Trip 292,tellus nulla ut erat id mauris vulputate elementum
198,Trip 293,faucibus orci luctus et ultrices posuere cubilia curae nulla
134,Trip 294,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus
8,Trip 295,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
110,Trip 296,magna vulputate luctus cum sociis natoque penatibus et
90,Trip 297,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
99,Trip 298,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
163,Trip 299,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
40,Trip 300,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
197,Trip 301,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
186,Trip 302,mi integer ac neque duis bibendum morbi non
91,Trip 303,integer ac neque duis bibendum morbi non
137,Trip 304,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
61,Trip 305,orci luctus et ultrices posuere cubilia curae donec
104,Trip 306,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
3,Trip 307,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
125,Trip 308,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
103,Trip 309,consequat metus sapien ut nunc vestibulum ante ipsum
175,Trip 310,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
56,Trip 311,odio justo sollicitudin ut suscipit a feugiat
79,Trip 312,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
152,Trip 313,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
96,Trip 314,etiam vel augue vestibulum rutrum rutrum neque aenean auctor
86,Trip 315,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
161,Trip 316,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
94,Trip 317,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
52,Trip 318,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
8,Trip 319,vestibulum quam sapien varius ut blandit non interdum in ante
125,Trip 320,ut tellus nulla ut erat id mauris vulputate
99,Trip 321,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
166,Trip 322,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
169,Trip 323,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
56,Trip 324,enim blandit mi in porttitor pede justo eu massa donec dapibus
42,Trip 325,est congue elementum in hac habitasse platea dictumst morbi
101,Trip 326,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
105,Trip 327,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
196,Trip 328,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
46,Trip 329,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
175,Trip 330,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
23,Trip 331,nulla justo aliquam quis turpis eget elit
173,Trip 332,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero
38,Trip 333,proin eu mi nulla ac enim in
159,Trip 334,ligula nec sem duis aliquam convallis nunc proin
144,Trip 335,nulla suspendisse potenti cras in purus eu magna
111,Trip 336,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
60,Trip 337,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
20,Trip 338,lectus vestibulum quam sapien varius ut blandit
94,Trip 339,lacus morbi sem mauris laoreet ut rhoncus aliquet
17,Trip 340,at lorem integer tincidunt ante vel ipsum praesent blandit
27,Trip 341,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
121,Trip 342,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
145,Trip 343,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
86,Trip 344,lacinia aenean sit amet justo morbi ut odio cras
112,Trip 345,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
198,Trip 346,semper sapien a libero nam dui proin leo odio porttitor id
179,Trip 347,elementum eu interdum eu tincidunt in leo
59,Trip 348,odio in hac habitasse platea dictumst maecenas ut massa quis
10,Trip 349,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
161,Trip 350,in quis justo maecenas rhoncus aliquam lacus
183,Trip 351,nec sem duis aliquam convallis nunc proin
185,Trip 352,sem fusce consequat nulla nisl nunc nisl duis
51,Trip 353,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
30,Trip 354,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
166,Trip 355,leo rhoncus sed vestibulum sit amet cursus
163,Trip 356,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
163,Trip 357,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
54,Trip 358,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
74,Trip 359,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
84,Trip 360,orci eget orci vehicula condimentum curabitur in
56,Trip 361,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
115,Trip 362,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
133,Trip 363,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
